sinus results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
|      60     |          52          |            28           | 6.182508293695044e-05  |
|      60     |          53          |            28           | 7.722470778415147e-05  |
|      60     |          54          |            32           | 4.4721357099930525e-05 |
|      60     |          55          |            36           | 3.045782272137476e-05  |
|      60     |          56          |            30           | 8.751686476793363e-05  |
|      70     |          23          |            16           | 9.124942256744095e-05  |
|      70     |          24          |            18           | 2.0656899991561284e-05 |
|      70     |          25          |            18           | 5.984928313063076e-05  |
|      70     |          26          |            20           | 1.4040995891251296e-05 |
|      70     |          27          |            20           | 3.970748317644324e-05  |
|      70     |          28          |            18           | 9.308262124818611e-05  |
|      70     |          29          |            22           | 2.7240079979284904e-05 |
|      70     |          30          |            20           | 6.621527463246402e-05  |
|      70     |          31          |            22           | 3.622600564173739e-05  |
|      70     |          32          |            22           | 4.738664595121955e-05  |
|      70     |          33          |            20           | 9.605026150527607e-05  |
|      70     |          34          |            24           | 3.489263484623972e-05  |
|      70     |          35          |            26           | 6.793720747322318e-05  |
|      70     |          36          |            28           | 2.5991213163989446e-05 |
|      70     |          37          |            24           | 5.4592798506059026e-05 |
|      70     |          38          |            24           | 8.815903894232591e-05  |
|      70     |          39          |            24           | 4.329939974084818e-05  |
|      70     |          40          |            26           | 3.698090520665165e-05  |
|      70     |          41          |            30           | 9.120399606155072e-06  |
|      70     |          42          |            30           | 5.280578587257834e-05  |
|      70     |          43          |            26           | 8.403051847083454e-05  |
|      70     |          44          |            30           | 4.102651854098749e-05  |
|      70     |          45          |            30           |  6.70085552456623e-05  |
|      70     |          46          |            28           | 9.909815318465132e-05  |
|      70     |          47          |            32           | 1.667388715786977e-05  |
|      70     |          48          |            30           | 8.016155092460675e-05  |
|      70     |          49          |            32           | 4.2696911142059424e-05 |
|      70     |          50          |            32           | 6.568664387762713e-05  |
|      70     |          51          |            28           | 6.810642055365967e-05  |
|      70     |          52          |            36           | 5.374226538557014e-05  |
|      70     |          53          |            32           | 7.631785838013716e-05  |
|      70     |          54          |            32           | 5.145599283395974e-05  |
|      70     |          55          |            36           | 6.427858050261914e-05  |
|      70     |          56          |            36           |  8.96168665833752e-05  |
|      70     |          57          |            40           | 5.374848320721659e-05  |
|      70     |          58          |            32           | 4.280224798552945e-05  |
|      70     |          59          |            40           | 4.480134686540849e-05  |
|      70     |          60          |            26           | 9.780803075654099e-05  |
|      70     |          61          |            36           | 8.503752149191524e-05  |
|      70     |          62          |            40           | 5.3763003283802124e-05 |
|      70     |          63          |            34           |  8.74850790423265e-05  |
|      70     |          64          |            38           |  9.65442189814203e-05  |
|      70     |          65          |            38           | 7.508303643943837e-05  |
|      70     |          66          |            40           |  8.37190634682683e-05  |
|      80     |          26          |            18           | 8.491446156222437e-05  |
|      80     |          27          |            20           | 4.022550499638289e-05  |
|      80     |          28          |            14           | 9.436414047025998e-05  |
|      80     |          29          |            20           |  4.94292954874298e-05  |
|      80     |          30          |            20           | 6.589147126978556e-05  |
|      80     |          31          |            20           | 3.523053405311838e-05  |
|      80     |          32          |            22           | 4.713097611208639e-05  |
|      80     |          33          |            20           |  9.52010707252482e-05  |
|      80     |          34          |            26           | 3.471115249836787e-05  |
|      80     |          35          |            24           | 6.769230404490845e-05  |
|      80     |          36          |            24           | 2.5864525322827348e-05 |
|      80     |          37          |            22           | 5.655689288969201e-05  |
|      80     |          38          |            26           | 4.705084829970119e-05  |
|      80     |          39          |            30           | 3.8655380859398125e-05 |
|      80     |          40          |            28           | 6.733071503750576e-05  |
|      80     |          41          |            32           | 3.0054879823271374e-05 |
|      80     |          42          |            26           | 5.2601930037754485e-05 |
|      80     |          43          |            26           | 8.337460464113988e-05  |
|      80     |          44          |            26           | 6.231350643981504e-05  |
|      80     |          45          |            30           | 2.064627604564384e-05  |
|      80     |          46          |            32           | 1.815864679832746e-05  |
|      80     |          47          |            34           | 5.3417026882440766e-05 |
|      80     |          48          |            26           |  9.32372831519146e-05  |
|      80     |          49          |            28           | 5.605842153677543e-05  |
|      80     |          50          |            24           | 9.157747197185984e-05  |
|      80     |          51          |            30           | 4.4555843744575885e-05 |
|      80     |          52          |            36           | 2.122186230707479e-05  |
|      80     |          53          |            34           | 7.750672207029741e-05  |
|      80     |          54          |            32           | 5.7307958523100666e-05 |
|      80     |          55          |            28           | 9.369147061744076e-05  |
|      80     |          56          |            34           | 4.734448921656087e-05  |
|      80     |          57          |            36           | 2.5294390164132263e-05 |
|      80     |          58          |            32           | 9.773408513502613e-05  |
|      80     |          59          |            38           | 2.173063533450481e-05  |
|      80     |          60          |            32           |  7.1790486233958e-05   |
|      80     |          61          |            36           | 5.554171862354185e-05  |
|      80     |          62          |            42           | 5.3189730912783784e-05 |
|      80     |          63          |            36           | 4.757113929676482e-05  |
|      80     |          64          |            38           |  4.3921010439818e-05   |
|      80     |          65          |            32           | 8.105768079202935e-05  |
|      80     |          66          |            36           | 5.840103361809401e-05  |
|      80     |          67          |            48           | 5.2934002984617035e-05 |
|      80     |          68          |            40           | 4.3307286814453505e-05 |
|      80     |          69          |            46           | 9.219879127841946e-05  |
|      80     |          70          |            34           | 6.408935808177585e-05  |
|      80     |          71          |            46           | 2.562740702505284e-05  |
