sinus plus x results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
+-------------+----------------------+-------------------------+------------------------+
|      20     |          6           |            4            |  0.06299556967567044   |
|      20     |          7           |            4            |  0.05727261487624036   |
|      20     |          8           |            6            |  0.023355682075346662  |
|      20     |          9           |            6            |  0.011761797809113572  |
|      20     |          10          |            8            |  0.006325987006958522  |
|      20     |          11          |            8            |  0.004082763927878874  |
|      20     |          12          |            10           |  0.003367073052762626  |
|      20     |          13          |            10           |  0.004085104922356253  |
|      20     |          14          |            12           |  0.004854422225418764  |
|      20     |          15          |            12           |  0.005372053285884526  |
|      20     |          16          |            14           | 0.0042840459581183765  |
|      30     |          10          |            8            |  0.006481359279031151  |
|      30     |          11          |            9            | 0.0037250115432490016  |
|      30     |          12          |            10           | 0.0025567373414994155  |
|      30     |          13          |            11           | 0.0016229575714302724  |
|      30     |          14          |            12           | 0.0013006093806742225  |
|      30     |          15          |            13           | 0.0009623680306911631  |
|      30     |          16          |            14           | 0.0006986809691503781  |
|      30     |          17          |            15           | 0.0006308066320177552  |
|      30     |          18          |            16           | 0.0004953098454121285  |
|      30     |          19          |            17           | 0.0005512790743351648  |
|      30     |          20          |            18           | 0.0006945648322096432  |
|      30     |          21          |            19           | 0.0008086486852618702  |
|      30     |          22          |            20           | 0.0007655361139333738  |
|      30     |          23          |            21           | 0.0006484382455005377  |
|      30     |          24          |            22           | 0.0006114530697440834  |
|      30     |          25          |            23           | 0.0006054018295678087  |
|      30     |          26          |            24           | 0.0005924744170373586  |
|      40     |          13          |            11           | 0.0017354991488895966  |
|      40     |          14          |            12           | 0.0012094103859441319  |
|      40     |          15          |            13           | 0.0009043791310764382  |
|      40     |          16          |            14           | 0.0006774712835461161  |
|      40     |          17          |            15           | 0.0005014453546478004  |
|      40     |          18          |            16           | 0.0004520206667629756  |
|      40     |          19          |            17           | 0.00033482913112070634 |
|      40     |          20          |            18           | 0.00027104733964300465 |
|      40     |          21          |            19           | 0.00020107311449568677 |
|      40     |          22          |            20           | 0.0001827416012802896  |
|      40     |          23          |            21           | 0.00016910844570006134 |
|      40     |          24          |            22           | 0.00013568452206769166 |
|      40     |          25          |            23           | 0.0001334914924933095  |
|      40     |          26          |            24           | 0.00016493840813103233 |
|      40     |          27          |            25           | 0.00020264617324294854 |
|      40     |          28          |            26           | 0.0002187623052090082  |
|      40     |          29          |            27           | 0.00019869012465267843 |
|      40     |          30          |            28           | 0.00017504169323290242 |
|      40     |          31          |            29           | 0.0001630582175526918  |
|      40     |          32          |            30           | 0.00016119254893398605 |
|      40     |          33          |            31           | 0.00016147527652754512 |
|      40     |          34          |            32           | 0.00015791876163961938 |
|      40     |          35          |            33           | 0.00015669087227010436 |
|      40     |          36          |            34           | 0.00015493658039411606 |
|      50     |          16          |            14           | 0.0006913080320122278  |
|      50     |          17          |            15           | 0.0005152380661030964  |
|      50     |          18          |            16           | 0.0003903568249159495  |
|      50     |          19          |            17           | 0.0003183281760831269  |
|      50     |          20          |            18           | 0.0002472706053426865  |
|      50     |          21          |            19           | 0.00019382835688008804 |
|      50     |          22          |            20           | 0.00017910719479030668 |
|      50     |          23          |            21           | 0.00013663773929006862 |
