sinus results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
+-------------+----------------------+-------------------------+------------------------+
|      20     |          6           |            3            |  0.03261922100520176   |
|      20     |          7           |            4            |  0.022661827056581596  |
|      20     |          8           |            5            |  0.013951406508261655  |
|      20     |          9           |            7            | 0.0006209641447958436  |
|      20     |          10          |            7            |  0.004964340236735532  |
|      20     |          11          |            8            | 0.0022575835116527276  |
|      20     |          12          |            9            |  0.002101804671659546  |
|      20     |          13          |            10           | 0.0005296386799996666  |
|      20     |          14          |            11           | 0.0003614875494491465  |
|      20     |          15          |            12           | 0.00018956588288121523 |
|      20     |          16          |            13           |  0.001034161324656141  |
|      30     |          10          |            8            | 0.00038013136447767604 |
|      30     |          11          |            8            | 0.00022830880573654344 |
|      30     |          12          |            6            | 0.0007387713418327835  |
|      30     |          13          |            8            | 0.0005351989206294205  |
|      30     |          14          |            8            | 0.0003795033428912187  |
|      30     |          15          |            8            | 0.0008696742583854666  |
|      30     |          16          |            10           | 0.00018070226601704653 |
|      30     |          17          |            10           | 0.00043740383374046843 |
|      30     |          18          |            6            | 0.0009611743161314079  |
|      30     |          19          |            10           | 0.00045736635882159815 |
|      30     |          20          |            10           | 0.0005279137823701596  |
|      30     |          21          |            10           | 0.0009232993056450534  |
|      30     |          22          |            10           | 0.00034075505426223174 |
|      30     |          23          |            12           | 0.0005943068086690095  |
|      30     |          24          |            10           | 0.0009005321992440196  |
|      30     |          25          |            14           | 0.0003751933671112262  |
|      30     |          26          |            12           | 0.0006225977344399558  |
|      40     |          13          |            8            | 0.0005084156099545156  |
|      40     |          14          |            8            | 0.00036994433379977654 |
|      40     |          15          |            8            | 0.0008722791452424605  |
|      40     |          16          |            10           | 0.0004981920780681159  |
|      40     |          17          |            12           | 0.00044016483230113757 |
|      40     |          18          |            10           |  0.000917901539281285  |
|      40     |          19          |            10           | 0.00043564600663714703 |
|      40     |          20          |            10           | 0.00037186065950342573 |
|      40     |          21          |            8            | 0.0009489838376871562  |
|      40     |          22          |            12           | 0.00032535821779544616 |
|      40     |          23          |            12           | 0.0005821795825696752  |
|      40     |          24          |            10           | 0.0009829852594056554  |
|      40     |          25          |            14           | 0.00037864420689481815 |
|      40     |          26          |            10           | 0.0008983446541603879  |
|      40     |          27          |            12           |  0.00089309715880459   |
|      40     |          28          |            10           | 0.0006103723348254153  |
|      40     |          29          |            14           | 0.0006208316314672002  |
|      40     |          30          |            12           | 0.0008778107353161202  |
|      40     |          31          |            8            | 0.0007486576120263599  |
|      40     |          32          |            16           | 0.0006271436411198206  |
|      40     |          33          |            12           | 0.0008704681901868794  |
|      40     |          34          |            12           | 0.0004390357556914859  |
|      40     |          35          |            20           | 0.0006276203620245724  |
|      40     |          36          |            10           | 0.00042082078283545155 |
|      50     |          16          |            8            | 0.0008112859889649604  |
|      50     |          17          |            8            | 0.0008005321323097669  |
|      50     |          18          |            8            | 0.0009794700374421428  |
|      50     |          19          |            12           | 0.00028644512046827053 |
|      50     |          20          |            10           | 0.00035982868569575666 |
|      50     |          21          |            8            | 0.00035917679057706486 |
|      50     |          22          |            8            | 0.0008800866083780168  |
|      50     |          23          |            14           | 0.0005848852269605409  |
|      50     |          24          |            14           | 0.0009180733578025846  |
|      50     |          25          |            14           | 0.00039071440940219304 |
|      50     |          26          |            12           |  0.000865329748462762  |
|      50     |          27          |            14           | 0.00037239874222727565 |
|      50     |          28          |            18           |  0.000258583570285853  |
|      50     |          29          |            10           | 0.0007023144747433374  |
