sinus plus x results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
|      70     |          23          |            18           | 0.00034307503482056134 |
|      70     |          24          |            16           | 0.0005608351899935027  |
|      70     |          25          |            18           | 0.0009616198605060244  |
|      70     |          26          |            20           | 0.00031856957970022304 |
|      70     |          27          |            20           | 0.0009879607801988044  |
|      70     |          28          |            20           | 0.0003003023221110901  |
|      70     |          29          |            20           | 0.0006861776449851309  |
|      70     |          30          |            20           | 0.0008133760235642384  |
|      70     |          31          |            20           | 0.0008283990522484075  |
|      70     |          32          |            22           | 0.00019801506460681573 |
|      70     |          33          |            22           | 0.0003491744747567971  |
|      70     |          34          |            20           | 0.0008425500999929003  |
|      70     |          35          |            22           | 0.00037656916339412483 |
|      70     |          36          |            20           | 0.0009479635811548981  |
|      70     |          37          |            22           | 0.0006796569705093125  |
|      70     |          38          |            22           | 0.0009687995003790917  |
|      70     |          39          |            24           |  0.000955154498202937  |
|      70     |          40          |            24           | 0.0006345762272730315  |
|      70     |          41          |            24           | 0.0007399123413058817  |
|      70     |          42          |            28           | 0.0002930189511836101  |
|      70     |          43          |            14           | 0.0009268065581693463  |
|      70     |          44          |            26           | 0.0008395046356632907  |
|      70     |          45          |            28           | 0.0004622038989524624  |
|      70     |          46          |            28           | 0.0007095244954775648  |
|      70     |          47          |            28           |  0.000405850811548758  |
|      70     |          48          |            28           | 0.0006614731101650673  |
|      70     |          49          |            28           | 0.0006682905211099488  |
|      70     |          50          |            30           | 0.0005206005401634517  |
|      70     |          51          |            22           | 0.0003938203053921452  |
|      70     |          52          |            32           | 0.0004426796483206763  |
|      70     |          53          |            32           | 0.0004919263680813746  |
|      70     |          54          |            32           | 0.0004480890069394894  |
|      70     |          55          |            18           |  0.000916168081373625  |
|      70     |          56          |            30           | 0.0008959631447640337  |
|      70     |          57          |            34           | 0.0004984398806244794  |
|      70     |          58          |            30           | 0.0009243543242442032  |
|      70     |          59          |            34           | 0.0005471373222567522  |
|      70     |          60          |            36           | 0.00041257825249585434 |
|      70     |          61          |            34           | 0.0009283257507066711  |
|      70     |          62          |            20           | 0.0008940269173028925  |
|      70     |          63          |            32           | 0.0007834884767834449  |
|      70     |          64          |            34           | 0.0007399292988924389  |
|      70     |          65          |            32           | 0.0009340320434423344  |
|      70     |          66          |            26           | 0.0009562203588469043  |
|      80     |          26          |            20           | 0.0003215488793486543  |
|      80     |          27          |            20           | 0.0008102431967491608  |
|      80     |          28          |            18           | 0.0003671843997745672  |
|      80     |          29          |            20           |  0.000689547733435214  |
|      80     |          30          |            18           | 0.0008120714013497565  |
